Name,Status,Site,Cluster,Role,Tenant,VCPUs,Memory (MB),Disk,IP Address,ID,Device,Tenant Group,IPv4 Address,IPv6 Address,Description,Comments,Config Template,Serial number,Contacts,Tags,Created,Last updated,Platform,Interfaces,Virtual Disks,Backup,DTAP state,Harddisk,open actions,Server Group
cde-zabbix-proxy-2,Active,,LXC containers,Container,Systems Infrastructure,,,,,99,compute2,,,,,,,,GO / Internal Technology Services (responsible),,2025-07-22T10:19:54.309418Z,2025-07-22T10:19:54.309432Z,,0,,,,,,
cdr-prod1,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.31.200,26,vw822,,172.18.31.200/22,,CDR database cluster,,,,GO / TO / AM / DBA (responsible),,2025-07-22T10:18:53.306777Z,2025-07-22T10:18:53.704629Z,Ubuntu 20.04 LTS,0,,,Production,,,Voiceworks
cdr-prod2,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.31.201,27,vw824,,172.18.31.201/22,,CDR database cluster,,,,GO / TO / AM / DBA (responsible),,2025-07-22T10:18:54.446540Z,2025-07-22T10:18:54.849116Z,Ubuntu 20.04 LTS,0,,,Production,,,Voiceworks
cdr-prod3,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.31.202,28,vw821,,172.18.31.202/22,,CDR database cluster,,,,GO / TO / AM / DBA (responsible),,2025-07-22T10:18:55.963881Z,2025-07-22T10:18:56.361520Z,Ubuntu 20.04 LTS,0,,,Production,,,Voiceworks
cdr-prod4,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.31.245,645,vw823,,172.18.31.245/22,,CDR database cluster,,,,GO / TO / AM / DBA (responsible),,2025-07-22T10:24:55.149751Z,2025-07-22T10:24:55.565860Z,Ubuntu 20.04 LTS,0,,,,,,Voiceworks
ced-tools-2,Active,,LXC containers,Container,Systems Infrastructure,,,,,97,compute2,,,,,,,,GO / Internal Technology Services (responsible),,2025-07-22T10:19:53.266627Z,2025-07-22T10:19:53.266644Z,,0,,,,,,
ceph-mon-test1,Active,,vw-vcenter01,VM,Systems Infrastructure,2.0,,,172.18.3.244,557,,,172.18.3.244/22,,Ceph test cluster - MON+MGR+RGW,,,,GO / TO / SA / Storage specialist (responsible),,2025-07-22T10:23:55.995885Z,2025-07-22T10:23:56.399336Z,Ubuntu 18.04 LTS,0,,Yes,Test,,,Voiceworks
ceph-mon-test2,Active,,vw-vcenter01,VM,Systems Infrastructure,2.0,,,172.18.3.243,558,,,172.18.3.243/22,,Ceph test cluster - MON+MGR+RGW,,,,GO / TO / SA / Storage specialist (responsible),,2025-07-22T10:23:56.620762Z,2025-07-22T10:23:57.052807Z,Ubuntu 18.04 LTS,0,,Yes,Test,,,Voiceworks
ceph-mon-test3,Active,,vw-vcenter01,VM,Systems Infrastructure,2.0,,,172.18.3.230,559,,,172.18.3.230/22,,Ceph test cluster - MON+MGR+RGW,,,,GO / TO / SA / Storage specialist (responsible),,2025-07-22T10:23:57.288246Z,2025-07-22T10:23:57.721467Z,Ubuntu 18.04 LTS,0,,Yes,Test,,,Voiceworks
ceph-osd-test1,Active,,vw-vcenter01,VM,Systems Infrastructure,1.0,,,172.18.3.182,560,,,172.18.3.182/22,,Ceph test cluster - OSD,,,,GO / TO / SA / Storage specialist (responsible),,2025-07-22T10:23:57.946519Z,2025-07-22T10:23:58.353363Z,Ubuntu 18.04 LTS,0,,No,Test,,,Voiceworks
ceph-osd-test2,Active,,vw-vcenter01,VM,Systems Infrastructure,1.0,,,172.18.3.161,561,,,172.18.3.161/22,,Ceph test cluster - OSD,,,,GO / TO / SA / Storage specialist (responsible),,2025-07-22T10:23:58.570427Z,2025-07-22T10:23:58.961148Z,Ubuntu 18.04 LTS,0,,No,Test,,,Voiceworks
ceph-osd-test3,Active,,vw-vcenter01,VM,Systems Infrastructure,1.0,,,172.18.3.132,562,,,172.18.3.132/22,,Ceph test cluster - OSD,,,,GO / TO / SA / Storage specialist (responsible),,2025-07-22T10:23:59.172420Z,2025-07-22T10:23:59.563088Z,Ubuntu 18.04 LTS,0,,No,Test,,,Voiceworks
ceph-osd-test4,Active,,vw-vcenter01,VM,Systems Infrastructure,1.0,4000,,172.18.0.22,646,,,172.18.0.22/22,,Ceph OSDCeph test cluster - OSD,,,,GO / TO / SA / Storage specialist (responsible),,2025-07-22T10:24:55.794464Z,2025-07-22T10:24:56.194287Z,Ubuntu 20.04 LTS,0,,No,Test,,,Voiceworks
check_mk,Active,,10.0.130.154,VM,Systems Infrastructure,4.0,,,,499,,,,,,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:23:24.886051Z,2025-07-22T10:23:24.886067Z,CentOS V6,0,,,,,,Xenosite legacy
