application_name,average_throughput_gb_per_hr,backup_level_name,backup_set_name,client_groups,client_id,client_name,destination_client_name,elapsed_seconds,end_time,job_id,job_type,localized_operation,localized_status,percent_complete,percent_savings,plan_name,retain_until,size_of_application_bytes,size_on_media_bytes,start_time,status,storage_policy_name,subclient_name,total_num_files
MySQL,27.5063,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,33,2025-10-02T00:03:07+00:00,1644880,Backup,Backup,Completed,100.0,69.867,applications - MySQL databases,2025-10-16T00:02:02+00:00,65632541,19777088,2025-10-02T00:02:02+00:00,Completed,2 weeks,default,5
Linux File System,136.183,Synthetic Full,defaultBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,518,2025-10-01T23:15:21+00:00,1644778,Synthetic Full,Synthetic Full,Completed,100.0,96.5089,systems - daily files,2026-07-28T23:05:27+00:00,18318824508,639527711,2025-10-01T23:05:27+00:00,Completed,2 weeks with monthly and Airgap,default,236112
MySQL,77.5508,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,35,2025-10-01T23:02:43+00:00,1644736,Backup,Backup,Completed,100.0,80.0092,applications - MySQL databases,2025-10-15T23:01:42+00:00,185043416,36991661,2025-10-01T23:01:42+00:00,Completed,2 weeks,default,5
MySQL,18.0,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,32,2025-10-01T22:01:55+00:00,1644704,Backup,Backup,Completed,100.0,69.2683,applications - MySQL databases,2025-10-15T22:00:49+00:00,42949559,13199115,2025-10-01T22:00:49+00:00,Completed,2 weeks,default,5
MySQL,18.0445,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,22,2025-10-01T21:01:14+00:00,1644472,Backup,Backup,Completed,100.0,68.8518,applications - MySQL databases,2025-10-15T21:00:25+00:00,26909976,8381975,2025-10-01T21:00:25+00:00,Completed,2 weeks,default,4
Linux File System,446.123,Incremental,defaultBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,80,2025-10-01T20:02:14+00:00,1644445,Backup,Backup,Completed,100.0,91.9699,systems - daily files,2025-10-16T20:00:34+00:00,3725720715,299179577,2025-10-01T20:00:34+00:00,Completed,2 weeks with monthly and Airgap,default,1331
MySQL,132.436,Full,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,821,2025-10-01T20:14:10+00:00,1644392,Backup,Backup,Completed with one or more errors,100.0,71.6084,applications - MySQL databases,2025-10-15T20:00:05+00:00,31560973562,8960652088,2025-10-01T20:00:05+00:00,Completed w/ one or more errors,2 weeks,default,28
MySQL,34.3184,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,31,2025-10-01T19:09:47+00:00,1644377,Backup,Backup,Completed,100.0,68.8626,applications - MySQL databases,2025-10-15T19:08:40+00:00,51179313,15935902,2025-10-01T19:08:40+00:00,Completed,2 weeks,default,5
MySQL,55.316,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,29,2025-10-01T18:09:11+00:00,1644287,Backup,Backup,Completed,100.0,68.9371,applications - MySQL databases,2025-10-15T18:08:17+00:00,65994513,20499837,2025-10-01T18:08:17+00:00,Completed,2 weeks,default,5
MySQL,53.1343,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,23,2025-10-01T17:08:46+00:00,1644269,Backup,Backup,Completed,100.0,68.8307,applications - MySQL databases,2025-10-15T17:07:57+00:00,79239643,24698452,2025-10-01T17:07:57+00:00,Completed,2 weeks,default,5
MySQL,50.9632,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,25,2025-10-01T16:08:26+00:00,1644253,Backup,Backup,Completed,100.0,69.0297,applications - MySQL databases,2025-10-15T16:07:34+00:00,91202112,28245598,2025-10-01T16:07:34+00:00,Completed,2 weeks,default,5
