Name,Status,Site,Cluster,Role,Tenant,VCPUs,Memory (MB),Disk,IP Address,ID,Device,Tenant Group,IPv4 Address,IPv6 Address,Description,Comments,Config Template,Serial number,Contacts,Tags,Created,Last updated,Platform,Interfaces,Virtual Disks,Backup,DTAP state,Harddisk,open actions,Server Group
[brokerteam]DB1B,active,,9,30,1,4.0,,,,352,,,,,,PowerState         : PoweredOff,,,,,2025-07-22T10:22:44.546171Z,2025-08-27T07:09:47Z,,0,,,,,,
[brokerteam]MG 1B,active,,9,30,1,4.0,,,,353,,,,,,,,,,,2025-07-22T10:22:44.765419Z,2025-07-22T10:22:44Z,12,0,,,,,,
[brokerteam]Proxy1B,active,,9,30,1,3.0,,,,334,,,,,,,,,,,2025-07-22T10:22:40.111557Z,2025-07-22T10:22:40Z,12,0,,,,,,
[core]blackhole.xenosite.ro,active,,9,30,1,1.0,,,,335,,,,,,,,,,,2025-07-22T10:22:40.324662Z,2025-07-22T10:22:40Z,12,0,,,,,,
[core]dev.xenosite.net,active,,9,30,1,2.0,,,,336,,,,,,,,,,,2025-07-22T10:22:40.536681Z,2025-07-22T10:22:40Z,18,0,,,,,,
[core]dhcp-kpn.xenosite.net,active,,9,30,1,2.0,,,,337,,,,,,,,,,,2025-07-22T10:22:40.826083Z,2025-07-22T10:22:40Z,18,0,,,,,,
[core]monster.xenosite.net,active,,9,30,1,1.0,,,,338,,,,,,,,,,,2025-07-22T10:22:41.392337Z,2025-07-22T10:22:41Z,18,0,,,,,,
[core]mysql1.xenosite.net,active,,9,30,1,1.0,,,,339,,,,,,,,,,,2025-07-22T10:22:41.651111Z,2025-07-22T10:22:41Z,12,0,,,,,,
[core]mysql2.xenosite.net,active,,9,30,1,1.0,,,,340,,,,,,PowerState         : PoweredOff,,,,,2025-07-22T10:22:41.860110Z,2025-08-27T07:09:46Z,,0,,,,,,
[core]ns1.xenosite.net,active,,23,30,1,1.0,,,,341,,,,,,,,,,,2025-07-22T10:22:42.100858Z,2025-07-22T10:22:42Z,12,0,,,,,,
[core]ns2.xenosite.net,active,,9,30,1,1.0,,,,342,,,,,,,,,,,2025-07-22T10:22:42.350866Z,2025-07-22T10:22:42Z,12,0,,,,,,
[core]rad1-kpn-huawei.xenosite.net,active,,23,30,1,2.0,,,,344,,,,,,,,,,,2025-07-22T10:22:42.776337Z,2025-07-22T10:22:42Z,12,0,,,,,,
[core]rad1.xenosite.net,active,,23,30,1,1.0,,,,343,,,,,,,,,,,2025-07-22T10:22:42.565241Z,2025-07-22T10:22:42Z,18,0,,,,,,
[core]resolver-redbus.xenosite.net,active,,23,30,1,1.0,,,,345,,,,,,,,,,,2025-07-22T10:22:42.995007Z,2025-07-22T10:22:42Z,12,0,,,,,20200624 - shut down as IPs have been migrated - remove VM after some weeks,
[pem]filter01.nedlook.com,active,,9,30,1,4.0,,,,347,,,,,,,,,,,2025-07-22T10:22:43.458387Z,2025-07-22T10:22:43Z,12,0,,,,,,
[pem]filter02.nedlook.com,active,,9,30,1,4.0,,,,348,,,,,,,,,,,2025-07-22T10:22:43.677795Z,2025-07-22T10:22:43Z,12,0,,,,,,
[pem]mysql5.nedlook.com,active,,9,30,1,4.0,,,,349,,,,,,,,,,,2025-07-22T10:22:43.896060Z,2025-07-22T10:22:43Z,12,0,,,,,,
[SRV00212]flex-siteconcept,active,,9,30,1,1.0,,,,354,,,,,,PowerState         : PoweredOff,,,,,2025-07-22T10:22:45.017452Z,2025-08-27T07:09:47Z,,0,,,,,,
[voip]mon1,active,,23,30,1,2.0,,,,356,,,,,,PowerState         : PoweredOff,,,,,2025-07-22T10:22:45.469260Z,2025-08-27T07:09:47Z,,0,,,,,,
[voip]mon2,active,,9,30,1,2.0,,,,357,,,,,,,,,,,2025-07-22T10:22:45.674993Z,2025-07-22T10:22:45Z,,0,,,,,,
[WINC]-AD02.XENOSITE.VOICE,active,,16,30,1,6.0,,,,493,,,,,,,,,,,2025-07-22T10:23:23.532040Z,2025-07-22T10:23:23Z,30,0,,,,,,
[WINC]-APP39.XENOSITE.VOICE,active,,16,30,1,6.0,,,,494,,,,,,,,,,,2025-07-22T10:23:23.750787Z,2025-07-22T10:23:23Z,30,0,,,,,,
[WINC]-f2m01,active,,16,30,1,4.0,,,,495,,,,,,,,,,,2025-07-22T10:23:23.970019Z,2025-07-22T10:23:23Z,12,0,,,,,,
[Xenosite]-UbiquitiWIFIcontroller,active,,9,30,1,1.0,,,,332,,,,,,PowerState         : PoweredOff,,,,,2025-07-22T10:22:39.685983Z,2025-08-27T07:09:46Z,,0,,,,,,
acceptance-grid-app1,active,,22,29,1,,,,2458,879,vw655,,2458,,,,,,,,2025-07-22T10:27:53.982593Z,2025-07-22T10:27:54Z,4,1,,,,,,
acceptance-grid-app2,active,,22,29,1,,,,2462,883,vw664,,2462,,,,,,,,2025-07-22T10:27:58.396809Z,2025-07-22T10:27:58Z,4,1,,,,,,
acceptance-grid-blf1,active,,22,29,1,,,,2457,878,vw655,,2457,,,,,,,,2025-07-22T10:27:52.978661Z,2025-07-22T10:27:53Z,4,1,,,,,,
acceptance-grid-blf2,active,,22,29,1,,,,2461,882,vw664,,2461,,,,,,,,2025-07-22T10:27:57.394715Z,2025-07-22T10:27:57Z,4,1,,,,,,
acceptance-grid-switch1,active,,22,29,1,,,,2456,877,vw655,,2456,,,,,,,,2025-07-22T10:27:51.668703Z,2025-07-22T10:27:52Z,4,1,,,,,,
acceptance-grid-switch2,active,,22,29,1,,,,2460,881,vw664,,2460,,,,,,,,2025-07-22T10:27:55.977239Z,2025-07-22T10:27:56Z,4,1,,,,,,
acceptance-grid-sync1,active,,22,29,1,,,,2459,880,vw655,,2459,,,,,,,,2025-07-22T10:27:55.007022Z,2025-07-22T10:27:55Z,4,1,,,,,,
am-mgmt-prod1,active,,6,30,1,2.0,2000,,2412,833,,,2412,,,,,,,,2025-07-22T10:27:18.628653Z,2025-07-22T10:27:19Z,6,2,,No,Production,,,
android_whatsapp,active,,17,30,1,2.0,,,,498,,,,,,,,,,,2025-07-22T10:23:24.665948Z,2025-07-22T10:23:24Z,,0,,,,,,
api-dev1,active,,22,29,1,,,,1961,43,vw387,,1961,,API backend dev (reach-api only),,,,,,2025-07-22T10:19:13.732606Z,2025-07-22T10:19:14Z,2,1,,,Development,,,
api-prod1,active,,22,29,1,,,,1948,30,vw382,,1948,,API backend,,,,,,2025-07-22T10:18:58.316623Z,2025-07-22T10:18:58Z,2,1,,,Production,,,
api-prod2,active,,22,29,1,,,,1949,31,vw387,,1949,,API backend,,,,,,2025-07-22T10:18:59.832374Z,2025-07-22T10:19:00Z,2,1,,,Production,,,
api-prod3,active,,22,29,1,,,,2079,228,vw472,,2079,,API backend,,,,,,2025-07-22T10:21:56.536472Z,2025-07-22T10:21:56Z,6,1,,,Production,,,
api-prod4,active,,22,29,1,,,,2080,229,vw496,,2080,,API backend,,,,,,2025-07-22T10:21:57.595408Z,2025-07-22T10:21:58Z,6,1,,,Production,,,
api-test1,active,,22,29,1,,,,1960,42,vw382,,1960,,API backend test (reach-api only),,,,,,2025-07-22T10:19:12.432223Z,2025-07-22T10:19:12Z,4,1,,,Development,,,
app-test1,active,,6,30,1,1.0,,,2316,734,,,2316,,,ESD-12354,,,,,2025-07-22T10:26:05.008222Z,2025-08-27T07:10:15Z,6,1,,No,Test,,,
app-test2,active,,6,30,1,1.0,,,2317,735,,,2317,,,ESD-12354,,,,,2025-07-22T10:26:05.626582Z,2025-08-27T07:10:15Z,6,1,,No,Test,,,
app-test3,active,,6,30,1,1.0,,,2318,736,,,2318,,,ESD-12354,,,,,2025-07-22T10:26:06.231979Z,2025-08-27T07:10:15Z,6,1,,No,Test,,,
archive-prod2,active,,22,29,1,,,,2016,149,vw466,,2016,,Archive,,,,,,2025-07-22T10:20:44.736583Z,2025-07-22T10:20:45Z,4,1,,,Production,,,
archive-prod3,active,,22,29,1,,,,2017,150,vw467,,2017,,Archive,,,,,,2025-07-22T10:20:46.013673Z,2025-07-22T10:20:46Z,4,1,,,Production,,,
backup_repo_veeam,active,,28,30,1,,128000,,2161,573,,,2161,,Atomia Veeam backup repo,,,,,,2025-07-22T10:24:06.878573Z,2025-07-22T10:24:07Z,10,4,,,Production,,,
backup01-pbas_infra,active,,17,30,1,16.0,,,,485,,,,,,,,,,,2025-07-22T10:23:21.733332Z,2025-07-22T10:23:21Z,12,0,,,,,,
bfx1-nl-prod1,active,,6,30,1,5.0,,,2319,737,,,2319,,Mobile BFX,,,,,,2025-07-22T10:26:06.845826Z,2025-07-22T10:26:07Z,13,1,,,Production,,,
bfx1-nl-prod2,active,,6,30,1,5.0,,,2320,738,,,2320,,Mobile BFX,,,,,,2025-07-22T10:26:07.487419Z,2025-07-22T10:26:07Z,13,1,,,Production,,,
bitbucket-db-prod1,active,,6,30,1,4.0,20000,,2442,863,,,2442,,Bitbucket production environment – PostgreSQL setup,,,,,,2025-07-22T10:27:41.800111Z,2025-07-22T10:27:42Z,6,1,,Yes,Production,,ESD-29618,
bitbucket-db-slave1,active,,6,30,1,2.0,20000,,2453,874,,,2453,,Bitbucket production environment – PostgreSQL slave from bitbucket-db-prod1 setup,,,,,,2025-07-22T10:27:49.410728Z,2025-07-22T10:27:49Z,6,6,,Yes,Production,,,
bitbucket-db-test1,active,,6,30,1,2.0,,,2463,884,,,2463,,Postgres database for the Test environment of Bitbucket.,,,,,,2025-07-22T10:27:59.043378Z,2025-07-22T10:27:59Z,6,1,,Yes,Test,,,
bitbucket-prod2,active,,6,30,1,8.0,25000,,2441,862,,,2441,,Bitbucket Production,,,,,,2025-07-22T10:27:41.164648Z,2025-07-22T10:27:41Z,6,1,,Yes,Production,,,
bitbucket-test2,active,,23,30,1,4.0,,,2395,816,,,2395,,Bitbucket test VM,,,,,,2025-07-22T10:27:07.418926Z,2025-07-22T10:27:07Z,6,2,,,Test,,,
brokerteam_DB 1A,active,,18,30,1,8.0,,,,508,,,,,,,,,,,2025-07-22T10:23:27.732731Z,2025-07-22T10:23:27Z,12,0,,,,,,
brokerteam_DB 1A_restored,active,,18,30,1,8.0,,,,509,,,,,,,,,,,2025-07-22T10:23:27.951749Z,2025-07-22T10:23:27Z,12,0,,,,,,
brokerteam_MG 1A,active,,18,30,1,8.0,,,,510,,,,,,,,,,,2025-07-22T10:23:28.183119Z,2025-07-22T10:23:28Z,12,0,,,,,,
brokerteam_Proxy 1A,active,,18,30,1,3.0,,,,511,,,,,,,,,,,2025-07-22T10:23:28.399482Z,2025-07-22T10:23:28Z,12,0,,,,,,
c4,active,,22,29,1,,,,1943,23,vw237,,1943,,Summa API Client,,,,,,2025-07-22T10:18:51.737161Z,2025-07-22T10:18:52Z,4,1,,,Production,,,
c5,active,,23,29,1,,,,,24,,,,,PHASED OUT,,,,,,2025-07-22T10:18:52.346774Z,2025-07-22T10:18:52Z,,0,,,,,PHASED OUT,
c6,active,,23,29,1,,,,,25,,,,,PHASED OUT,,,,,,2025-07-22T10:18:52.560466Z,2025-07-22T10:18:52Z,,0,,,,,PHASED OUT,
c13,active,,22,29,1,,,,1923,1,vw237,,1923,,MV3 voiceover,,,,,,2025-07-22T10:18:28.204906Z,2025-07-22T10:18:28Z,4,1,,,Production,,,
c23,active,,22,29,1,,,,1935,15,vw299,,1935,,Management services - Puppet test agent,,,,,,2025-07-22T10:18:43.480837Z,2025-07-22T10:18:43Z,2,1,,,Test,,,
c24,active,,22,29,1,,,,1936,16,vw299,,1936,,Management services - Puppet test agent,,,,,,2025-07-22T10:18:44.441094Z,2025-07-22T10:18:44Z,9,1,,,Test,,,
c25,active,,22,29,1,,,,1937,17,vw299,,1937,,Management services - Puppet test agent,,,,,,2025-07-22T10:18:45.395822Z,2025-07-22T10:18:45Z,3,1,,,Test,,,
c26,active,,22,29,1,,,,1938,18,vw299,,1938,,Management services - Puppet test agent,,,,,,2025-07-22T10:18:46.669104Z,2025-07-22T10:18:47Z,7,1,,,Test,,,
c36,active,,22,29,1,,,,1956,38,vw199,,1956,,Voice monitoring PoC,,,,,,2025-07-22T10:19:07.674497Z,2025-07-22T10:19:08Z,2,1,,,Test,,Delete after 14-01-2020,
c37,active,,22,29,1,,,,1957,39,vw199,,1957,,Voice monitoring PoC,,,,,,2025-07-22T10:19:08.689340Z,2025-07-22T10:19:09Z,2,1,,,Test,,Delete after 14-01-2020,
c38,active,,22,29,1,,,,1924,2,vwde4,,1924,,DE proxy,,,,,,2025-07-22T10:18:29.710278Z,2025-07-22T10:18:30Z,9,1,,,Production,,,
c39,active,,22,29,1,,,,1925,3,vwde5,,1925,,DE proxy,,,,,,2025-07-22T10:18:30.862888Z,2025-07-22T10:18:31Z,9,1,,,Production,,,
c47,active,,22,29,1,,,,1939,19,vw299,,1939,,Management services - Puppet test agent,,,,,,2025-07-22T10:18:47.591183Z,2025-07-22T10:18:48Z,12,1,,,Test,,,
c51,active,,22,29,1,,,,1940,20,vw299,,1940,,Management services - Puppet test agent,,,,,,2025-07-22T10:18:48.539105Z,2025-07-22T10:18:48Z,5,1,,,Test,,,
c52,active,,22,29,1,,,,1958,40,vwde6,,1958,,Screwdriver (ECT panic button),,,,,,2025-07-22T10:19:09.906676Z,2025-07-22T10:19:10Z,2,1,,,Production,,,
c65,active,,23,29,1,,,,,4,,,,,,,,,,,2025-07-22T10:18:31.482591Z,2025-07-22T10:18:31Z,,0,,,,,,
c66,active,,23,29,1,,,,,5,,,,,,,,,,,2025-07-22T10:18:31.694675Z,2025-07-22T10:18:31Z,,0,,,,,,
c68,active,,22,29,1,,,,1947,29,vw304,,1947,,Management services - Puppet test agent,,,,,,2025-07-22T10:18:57.106504Z,2025-07-22T10:18:57Z,13,1,,,Test,,,
c69,active,,22,29,1,,,,1959,41,vwde7,,1959,,Screwdriver (ECT panic button),,,,,,2025-07-22T10:19:11.126902Z,2025-07-22T10:19:11Z,2,1,,,Production,,,
c72,active,,22,29,1,,,,1965,47,vwde6,,1965,,SIP DHCP,,,,,,2025-07-22T10:19:18.587978Z,2025-07-22T10:19:19Z,2,1,,,Production,,,
c73,active,,22,29,1,,,,1966,48,vwde7,,1966,,SIP DHCP,,,,,,2025-07-22T10:19:19.541369Z,2025-07-22T10:19:19Z,2,1,,,Production,,,
c122,active,,22,29,1,,,,1950,32,vw393,,1950,,IMS / HSS interop testing - kamailio p-cscf,,,,,,2025-07-22T10:19:00.995281Z,2025-07-22T10:19:01Z,10,1,,,Test,,Do not remove yet - talk with LeonR if needed,
c123,active,,22,29,1,,,,1951,33,vw393,,1951,,IMS / HSS interop testing - kamailio i-cscf,,,,,,2025-07-22T10:19:01.928095Z,2025-07-22T10:19:02Z,10,1,,,Test,,Do not remove yet - talk with LeonR if needed,
c124,active,,22,29,1,,,,1952,34,vw393,,1952,,IMS / HSS interop testing - kamailio s-cscf,,,,,,2025-07-22T10:19:02.896826Z,2025-07-22T10:19:03Z,10,1,,,Test,,Do not remove yet - talk with LeonR if needed,
c125,active,,22,29,1,,,,1953,35,vw393,,1953,,IMS / HSS interop testing - AS / freeswitch gateway,,,,,,2025-07-22T10:19:04.257399Z,2025-07-22T10:19:04Z,2,1,,,Test,,Do not remove yet - talk with LeonR if needed,
c126,active,,22,29,1,,,,1954,36,vw393,,1954,,IMS / HSS interop testing - hss install,,,,,,2025-07-22T10:19:05.596422Z,2025-07-22T10:19:05Z,9,1,,,Test,,Do not remove yet - talk with LeonR if needed,
c127,active,,22,29,1,,,,1955,37,vw393,,1955,,IMS / HSS interop testing - tools,,,,,,2025-07-22T10:19:06.508350Z,2025-07-22T10:19:06Z,9,1,,,Test,,Do not remove yet - talk with LeonR if needed,
c146,active,,22,29,1,,,,1984,115,vw304,,1984,,Management services - Puppet test agent,,,,,,2025-07-22T10:20:07.448974Z,2025-07-22T10:20:07Z,10,1,,,Test,,,
c149,active,,22,29,1,,,,1994,127,vw199,,1994,,Unknown,,,,,,2025-07-22T10:20:19.231885Z,2025-07-22T10:20:19Z,2,1,,,Development,,,
cacti-prod1,active,,6,30,1,4.0,,,2156,567,,,2156,,,,,,,,2025-07-22T10:24:03.053053Z,2025-07-22T10:24:03Z,4,1,,Yes,Production,,,
carrier-edge-test,active,,6,30,1,2.0,4000,,2346,767,,,2346,,,,,,,,2025-07-22T10:26:27.564494Z,2025-07-22T10:26:27Z,2,1,,No,Test,,,
cc-dba-prod1,active,,6,30,1,2.0,8000,,2493,914,,,2493,,Cluster Control,,,,,,2025-07-22T10:28:20.386670Z,2025-07-22T10:28:20Z,6,1,,Yes,Production,,ESD-34106,
cc-ent-prod1,active,,6,30,1,4.0,,,2194,608,,,2194,,Cluster Control Enterprise Edition (database management),,,,,,2025-07-22T10:24:28.801917Z,2025-07-22T10:24:29Z,4,1,,,Production,,,
cc-free-prod1,active,,6,30,1,4.0,,,2195,609,,,2195,,Cluster Control Community Edition (database management),,,,,,2025-07-22T10:24:29.755478Z,2025-07-22T10:24:30Z,4,1,,,Production,,,
cde-appserver-1,active,,22,29,1,,,,,75,srv03,,,,,,,,,,2025-07-22T10:19:39.467917Z,2025-07-22T10:19:39Z,,0,,,,,,
cde-appserver-2,active,,22,29,1,,,,,86,srv04,,,,,,,,,,2025-07-22T10:19:46.122267Z,2025-07-22T10:19:46Z,,0,,,,,,
cde-bisuite,active,,22,29,1,,,,,64,srv02,,,,,,,,,,2025-07-22T10:19:32.812000Z,2025-07-22T10:19:32Z,,0,,,,,,
cde-customer-ns-1,active,,22,29,1,,,,2009,142,vwde8,,2009,,DE Customer DNS,,,,,,2025-07-22T10:20:36.946346Z,2025-07-22T10:20:37Z,2,1,,,Production,,,
cde-customer-ns-1 (old),active,,22,29,1,,,,,100,compute1,,,,,,,,,,2025-07-22T10:19:55.211977Z,2025-07-22T10:19:55Z,,0,,,,,,
cde-customer-ns-2,active,,22,29,1,,,,2013,146,vwde9,,2013,,DE Customer DNS,,,,,,2025-07-22T10:20:41.067158Z,2025-07-22T10:20:41Z,2,1,,,Production,,,
cde-customer-ns-2 (old),active,,22,29,1,,,,,101,compute2,,,,,,,,,,2025-07-22T10:19:55.720749Z,2025-07-22T10:19:55Z,,0,,,,,,
cde-emergency-calls-1,active,,22,29,1,,,,2248,664,vwde8,,2248,,,,,,,,2025-07-22T10:25:10.123820Z,2025-07-22T10:25:10Z,10,1,,,Production,,,
cde-emergency-calls-2,active,,22,29,1,,,,2249,665,vwde9,,2249,,,,,,,,2025-07-22T10:25:11.083317Z,2025-07-22T10:25:11Z,10,1,,,Production,,,
