Name,Status,Tenant,Site,Location,Rack,Rack Position,Role,Manufacturer,Type,IP Address,ID,Tenant Group,Serial number,Asset tag,Region,Site Group,Parent Device,Position (Device Bay),Position,Rack face,Latitude,Longitude,Airflow,IPv4 Address,IPv6 Address,OOB IP,Cluster,Virtual Chassis,VC Position,VC Priority,Description,Config Template,Comments,Contacts,Tags,Created,Last updated,Platform,Server Group,Backup,DTAP state,Harddisk,open actions,CPU,Memory,Monitor hardware,HW buy date,HW warranty expiration,Warranty type,Console ports,Console server ports,Power ports,Power outlets,Interfaces,Front ports,Rear ports,Device bays,Module bays,Inventory items,VCPUs,Memory (MB),Disk,Device,Virtual Disks,netbox_type
*NEW* FWL29-ALM-A,active,2,2,4,LI-15,Front 40.0,14,,,,1928,,,,,,,,40.0,Front,,,,,,,,,,,,,,,,2025-07-22T10:13:05.274960Z,2025-07-22T10:13:05Z,,,,,,,,,,,,,1,0,1,0,10,0,0,0,0,0,,,,,,devices
2x Sonic wall NSA 220,active,2,13,,,,3,,,,987,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-22T09:56:01.618419Z,2025-07-22T09:56:01Z,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,devices
3com backnet switch,active,2,13,,,,2,,,,959,,,,,,,,,,,,,,,,,,,,,,backnet,,,2025-07-22T09:55:46.307738Z,2025-08-27T07:09:11Z,,,,,,,,,,,,,0,0,0,0,48,0,0,0,0,0,,,,,,devices
3Com switch SW6,active,2,13,,,,2,,,,923,,,,,,,,,,,,,,,,,,,,,,uplink 3com: 48 &lt;-&gt; foundry: 24,,,2025-07-22T09:55:25.522298Z,2025-08-27T07:09:05Z,,,,,,,,,,,,,0,0,0,0,25,0,0,0,0,0,,,,,,devices
4ITSolutions,active,,13,,,,1,,,,927,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-22T09:55:27.496585Z,2025-07-22T09:55:27Z,,,,,,Return to Drachten,,,,,,,0,0,0,0,3,0,0,0,0,0,,,,,,devices
10Telecom 01,active,5,7,12,0505,Front 39.0,1,,,,1269,,,,,,,,39.0,Front,,,,,,,,,,,,,,,,2025-07-22T10:00:54.831734Z,2025-08-05T07:29:07Z,,,,,,,,,,,,,0,0,2,0,2,0,0,0,0,0,,,,,,devices
10telecom 02,active,5,7,12,0505,Front 38.0,1,,,,1268,,,,,,,,38.0,Front,,,,,,,,,,,,,,,,2025-07-22T10:00:54.261276Z,2025-08-05T07:29:53Z,,,,,,,,,,,,,0,0,2,0,2,0,0,0,0,0,,,,,,devices
10telecom 03,active,5,7,12,0505,Front 37.0,1,,,,1267,,,,,,,,37.0,Front,,,,,,,,,,,,,,,,2025-07-22T10:00:53.673344Z,2025-08-05T07:30:28Z,,,,,,,,,,,,,0,0,2,0,2,0,0,0,0,0,,,,,,devices
10telecom 04,active,5,7,12,0505,Front 36.0,1,,,,1270,,,,,,,,36.0,Front,,,,,,,,,,,,,,,,2025-07-22T10:00:55.405656Z,2025-08-05T07:30:57Z,,,,,,,,,,,,,0,0,2,0,2,0,0,0,0,0,,,,,,devices
10Telecom Spare,active,5,7,12,0505,Front 40.0,1,,,577,910,,,SRV00053,,,,,40.0,Front,,,,,,577,,,,,,,,,,2025-07-22T09:55:19.100462Z,2025-08-05T07:32:13Z,,,,,,,,,,,,,0,0,1,0,3,0,0,0,0,0,,,,,,devices
